MMT,CNF,Gelatin,Glycerol,TransVis,RR,TensileStrength
10.11639689,52.06484071,19.86552125,18.02915066,80.99833982,0.498170834,51.71306595
35.59351894,29.62296139,8.573730791,26.35334199,54.49914694,0.84132763,32.37152191
13.87315715,36.97024827,30.61276045,18.59875617,81.06794095,0.711363601,43.0801691
56.86202553,28.3434095,4.902354947,9.906687077,82.59098162,0.790706565,49.93156584
2.19641086,51.03894847,37.58838697,8.994043476,78.65881968,0.239458916,43.13170141
5.507222626,66.23152088,9.40902092,18.90363242,85.31853191,0.314613393,52.69847232
71.66087718,2.03026283,24.99648247,1.334779195,21.2445842,0.963803522,91.98394779
50.97158471,23.20524001,3.423080478,22.35968307,70.65701816,0.802457997,63.14691407
2.56750593,41.35798912,6.434151168,49.5668009,84.30600011,0.17224754,10.64908089
65.06648029,2.92977317,17.54670785,14.48010182,21.45605361,0.93392811,95.77090209
1.31667455,63.05080977,34.26644607,1.394314733,85.45642483,0.100813838,68.264695
6.461063913,32.19103831,59.48812649,1.969454377,82.46833189,0.562801721,10.25018629
38.96160004,19.82415773,37.74962481,3.355583262,69.75876614,0.647852043,29.46373201
50.94818273,23.16958041,3.518814829,22.32992929,70.73055736,0.742186598,63.13838512
51.14026865,27.88526115,19.2555628,1.525529653,70.13491197,0.813350133,41.22464334
54.18870025,10.43010242,34.08681585,1.518251359,48.34861327,0.885639521,65.44173384
15.28473982,38.87194499,2.372935845,43.51478941,85.70275325,0.613975996,20.90039611
38.86696626,19.88212606,37.77318528,3.470672845,69.7543263,0.822209778,29.44784931
1.647648396,53.6176736,18.16362909,26.63737787,83.03026343,0.052638289,28.00166841
39.24937086,13.47479485,32.01577418,15.40646271,67.95102256,0.917797443,53.12562286
75.53888672,6.478450735,11.60684367,6.291127187,31.7999304,1.01323685,60.94655033
51.88143282,26.99093054,1.906937231,19.07999104,67.9132355,0.736285745,34.80968684
9.266129275,51.77509903,35.89699526,3.099086904,84.55799716,0.534005241,54.66468387
33.08736234,34.94798889,4.551298623,27.42634839,80.99259607,0.705304041,30.40752092
29.531431,28.06850132,12.50919834,30.0366843,73.26129372,0.756682039,25.57486349
39.65212705,34.02549278,17.32700099,8.94139219,70.71737001,0.781276404,65.87557666
4.476370233,58.8296199,35.42661771,1.277143923,84.64653098,0.156597301,81.77413458
8.450482419,36.01832414,47.0625726,8.597301068,71.49461053,0.551021989,54.96391797
37.20453983,19.32434083,22.30336131,21.25081954,70.14020298,0.926500173,67.90538391
42.71208677,2.295547562,40.90757207,13.9798139,66.23381772,0.027109996,39.19165836
40.87734312,23.37808257,8.554107878,27.10779316,80.63412092,0.747175207,73.96792901
51.87259934,20.54308245,18.44872299,9.133377077,41.5597239,0.695666132,34.94195991
27.19179599,35.35720946,11.49057781,25.97204137,75.58668046,0.852366806,37.90520293
2.362494433,57.9055178,3.363296244,36.43258068,84.60782958,0.849074127,19.41655431
36.14039719,34.4982812,11.85665421,17.56155773,78.9914905,0.732333627,103.5208006
34.545579,34.22066714,27.69619149,3.499715906,75.18846126,0.732549054,54.70706228
1.498233666,55.78286036,14.16965628,28.47408223,84.76711274,0.167867521,41.07932475
9.613663327,38.8391067,15.42450774,36.0597204,75.62297687,0.482182706,11.90651267
1.78871328,39.88995069,14.09011808,44.10131057,85.97520929,0.129830522,24.90409313
52.8336419,21.57507847,16.37625904,9.460760883,53.61895072,0.906944828,78.32387461
5.070466365,42.55656307,44.25449932,8.136869096,73.85863773,0.363584895,102.4093558
42.86986558,35.37380304,3.275236101,18.5027801,75.12940937,0.754319075,66.25462291
5.490138862,46.35604498,12.02044109,36.0091824,85.60580165,0.2865943,34.41405969
51.12113729,27.98246414,19.31322512,1.498198419,70.12231769,0.85559472,41.16775165
45.53381241,34.64522051,6.517761547,13.21747012,81.829634,0.760341823,59.68211133
27.35338347,35.40376202,11.4499289,25.86996054,75.57482772,0.903756131,37.89562861
9.608793827,38.94891013,15.51585632,36.02949648,75.64258081,0.526977732,12.07458219
47.93861514,7.159543579,32.23136319,12.59165912,56.7912083,0.97403741,46.89825332
43.49065441,37.54206627,6.00464479,12.81272912,71.28810463,0.789253783,107.9937502
7.778144405,58.96418296,27.12279802,6.051967995,84.7560146,0.212211759,140.397287
1.320578504,63.10593235,34.3161588,1.538300897,83.60979717,0.360389178,40.33797154
35.59709667,29.56699481,8.546320174,26.36710756,54.54593649,0.884213171,32.46375843
65.12180822,2.86757662,17.66146491,14.42600834,21.32301131,0.877615324,95.73062265
13.86151855,36.95381374,30.60256455,18.56972577,81.11862897,0.69125534,43.05125887
3.371023973,47.67002818,41.35428401,7.633484001,74.77159969,0.249764102,129.2723082
46.84189293,19.43384632,32.21060284,1.720415341,56.63951953,0.858112197,89.72329454
1.396639714,43.93790429,4.869532891,49.80626303,86.70562885,0.751010429,21.60962326
1.375372225,38.82349268,38.77484601,21.04527494,82.02589695,0.146509356,11.2797012
1.054785444,70.0476726,19.27592523,9.548858683,86.24737698,0.660642366,76.13422795
64.91954154,15.53170677,18.17327041,1.481071876,33.47635629,0.866897251,136.853133
47.89518725,3.960594147,40.34628685,7.86782567,65.27384495,0.609507506,20.2932961
5.433320106,66.09173961,9.532284242,18.99027527,85.18709892,0.28537431,52.6583344
1.753788975,64.72212738,22.31720121,11.09903867,79.17458777,0.210231702,22.81637421
2.524227959,47.34184733,26.14314963,23.9618077,80.51482236,0.229083257,45.32495864
50.28897897,9.946560314,38.09008203,1.517080717,63.34579904,0.695903869,34.88070155
51.02396887,23.0969214,3.398234874,22.36769621,70.6891553,0.716503395,63.15518852
6.37412641,35.33303036,45.98819468,12.25348689,71.76401708,0.520354346,77.06597414
27.2613162,35.50562206,11.44100148,25.89870499,75.60055888,0.912129605,37.86542385
30.65584912,42.82713222,15.73230843,10.725689,75.80284637,0.459291085,28.85921656
35.55682327,29.61068891,8.595264279,26.26746708,77.83538807,0.628214649,12.40302235
51.87143331,20.42852543,18.59384866,9.154009227,41.40574817,0.667423766,34.88551571
32.74532367,24.10077592,41.80402215,1.271238339,70.82324263,0.841483222,60.5493491
52.70412358,6.575221917,34.83668704,5.822115543,42.62667765,0.761701086,17.33880504
38.41152102,31.05858558,9.24097573,21.30251992,78.31506104,0.838773085,51.21240366
35.44360783,37.77963971,6.638824534,20.10716388,83.11637827,0.830708154,85.46170339
51.30286064,27.86280624,19.27656255,1.550530797,70.12640729,0.81175324,41.26380829
71.59584371,1.944474867,24.95494988,1.454315122,21.32532647,1.002856046,92.02534292
2.728337407,38.30857739,57.05228871,1.90255992,72.74835782,0.345926412,58.27491675
32.92126228,23.80494298,34.23745362,8.952912951,77.39319817,0.680274306,54.88378755
4.503358079,58.79883264,35.37582313,1.2882824,84.5547725,0.119666315,81.72027034
32.95703061,23.78547278,34.199442,9.021047786,77.3894703,0.707372978,55.01378191
10.19537347,42.86215526,44.92525987,1.946044936,81.76800286,0.623289881,38.13498449
62.90815897,22.57700083,11.06682378,3.623626093,35.45981002,0.709673226,113.5239085
33.05484282,23.77824167,34.21733117,9.046934694,77.42948619,0.666823154,54.88065313
29.54087768,28.21178797,12.27152828,30.00952804,73.19579439,0.573581921,25.55124984
71.61035471,1.995794168,24.93250853,1.465554885,21.35785045,1.004109361,92.07186762
1.295710877,62.93450232,34.32657985,1.397154433,85.47656174,0.076433682,68.30232021
1.839494841,47.00638585,49.3132419,1.872178252,76.85039742,0.154470394,63.94455518
71.63328429,2.018959601,24.85703292,1.411531983,37.05956951,0.84214258,49.94600874
5.07077576,34.38431953,1.224531811,59.37160887,80.00687898,0.344012375,5.004564281
1.862998844,47.07333886,49.33900534,1.840552708,76.98040438,0.107393448,64.01256146
4.464530967,58.90433152,35.35434281,1.369791869,84.68322597,0.07135199,81.69276067
49.38688471,8.302153516,23.42149716,19.05010514,66.83806929,1.003297447,84.00614767
58.97610918,5.726056732,33.18935384,2.04405509,51.31694907,0.868239502,107.7576666
50.18729698,9.992572932,38.09359603,1.536837779,63.26595078,0.730268588,34.96847812
1.613180342,53.58479719,18.28380889,26.5543398,83.17042728,0.137619286,28.07758571
64.25636585,1.743581118,21.34521163,12.63888813,48.17521578,0.809131822,54.68450798
41.78946749,26.95189052,10.71878749,20.43397338,77.34296136,0.627962852,73.7135475
46.65688401,10.94098662,26.30891486,15.98242871,56.47928401,0.854666969,58.01481434
2.508173714,47.39443332,26.02226361,24.00402163,80.51837234,0.415090199,45.41712024
56.78385105,28.48794696,4.850241762,9.839303394,82.68519796,0.848596861,49.88552596
24.9464759,38.33754261,13.79473346,23.00682033,78.19157933,0.76979611,53.99650005
5.372554221,66.20375728,9.420248659,19.0600094,85.33004077,0.244860427,52.84967798
54.15869905,10.28502114,34.02935338,1.355674861,48.3782048,0.875786792,65.43494667
1.23411492,63.01978861,34.20306364,1.45543814,83.67123608,0.315398023,40.27646004
51.93762685,26.92811333,1.881194164,19.11369285,67.93675131,0.759717239,34.77368583
3.151553534,32.62437366,51.65370244,12.45595923,73.70361831,0.426043818,47.19235715
7.899117858,46.74970201,31.66819308,13.69354257,82.61705282,0.385693536,112.0215153
45.55556784,34.73275106,6.511638239,13.27817278,81.75662518,0.667645803,59.6308011
2.360239295,57.87438297,3.348254797,36.32978591,84.58487406,0.731905383,19.36275535
12.30124477,38.67726156,35.69527285,13.19159457,77.20242476,0.699612022,96.80843704
41.90011762,26.98974854,10.88687389,20.44248235,77.29209405,0.6572234,73.80588057
51.22916256,27.91733636,19.36292896,1.517253264,70.04137482,0.858229715,41.22683997
64.30561454,1.802451617,21.31184653,12.70117159,28.2990473,0.820895054,105.3617077
15.26699813,38.8797607,2.391962596,43.39220711,85.76313156,0.594365896,20.90021221
52.11432823,1.892762867,22.80994065,23.29234785,67.25681015,0.944263668,33.80267332
38.52942588,30.93973857,9.262739512,21.25032019,78.28163979,0.849064234,51.22948412
1.208868314,63.0642103,34.15847141,1.467201798,85.49670821,0.183147976,68.25196477
7.613052965,43.08876479,12.90908972,36.43068167,84.14753995,0.528213301,21.80238983
35.54171751,29.53765847,8.491163215,26.2155956,54.50040125,0.852606244,32.37863749
2.507113919,49.13324913,15.17900434,33.20353094,86.41420928,0.171195778,45.17700578
58.47504679,3.203514721,24.10846725,14.28691969,34.46617175,0.884877494,67.64590394
57.35149424,17.83053286,11.57329712,13.16259386,63.92872501,0.776112591,40.35669777
13.91787588,36.94098868,30.61048677,18.59174545,81.05623266,0.69404894,43.0895292
45.45943593,34.71052142,6.519811847,13.24044973,81.69135559,0.704859936,59.60836366
2.01123129,42.21289751,12.21332345,43.51884141,81.98748335,0.078884897,11.90456725
65.0381131,2.977683188,17.5918461,14.39044692,21.48959136,0.907925966,95.67659244
5.922492178,36.20241329,1.162115542,56.93536305,84.55496912,0.275655797,7.895063064
33.00764829,34.93035462,4.587599993,27.46120776,81.04553293,0.630399474,30.3579135
1.3989425,53.34628784,30.43950924,14.82787501,83.1752855,0.155277291,67.82892765
38.71495121,3.959727927,51.16885843,6.302504033,67.65916499,0.66082992,81.52948147
27.24605621,35.2937994,11.51214381,25.93481242,75.64885842,0.937610644,37.85206506
27.27915768,35.40191827,11.50340774,25.8008624,75.64085775,0.828512482,37.88629997
1.289585643,43.97781267,4.87921156,49.75320269,86.77136576,0.764642363,21.71104143
5.207989396,48.50393889,28.69876449,17.62809289,82.97755838,0.409545678,96.44757862
3.215003178,63.57891971,28.56138842,4.705509601,80.30995986,0.189208855,138.9641878
42.84264728,35.33765874,3.211422923,18.5103525,75.1463386,0.733311203,66.30420088
59.05742927,5.834999849,33.21060308,1.992890969,51.23180119,0.799273035,107.7965877
19.85273581,32.66443974,29.78599261,17.7783386,78.5829108,0.44551165,49.09722795
20.46667779,39.55363116,26.92410606,12.92015572,77.49387587,0.753028753,37.75601785
5.105302075,42.56914031,44.22438701,8.049409608,73.74024297,0.314519535,102.4628365
1.864063923,43.28243143,22.42647846,32.43700963,84.9596993,0.865054892,37.50546031
2.079069547,51.08821981,37.56583633,9.109185088,78.70785819,0.286888375,43.1334361
17.73853504,29.47376527,49.30310118,3.56905037,80.70083328,0.625772856,21.89747654
49.29178629,8.282388344,23.29158291,18.97832497,66.87367217,0.927594582,83.91843407
5.09419575,34.38730078,1.306894655,59.4074148,80.03214244,0.243343911,4.988396645
24.10093596,33.58634538,20.02392487,22.23580672,74.47951177,0.723370702,90.29605555
46.76193876,19.37418856,32.25766691,1.580080341,56.58441008,0.895909679,89.77335965
5.45198266,66.10769974,9.389801499,18.98688786,85.18874076,0.285403946,52.801365
1.827751389,47.12614002,49.43785562,1.762301626,76.87216616,0.189508118,64.00824772
7.57917505,43.08285248,12.95806307,36.4682468,84.0232556,0.405426773,21.77881892
8.361951766,49.96103669,28.13630987,13.54651057,80.13664097,0.59502081,65.53520647
10.12782572,52.02548345,19.84481548,18.07580859,81.04034793,0.404235477,51.77096291
1.474770376,53.67389434,18.25485609,26.69640237,81.96163131,0.105241117,14.66635596
39.61033818,33.99111542,17.3522788,9.007803293,70.71232963,0.70244055,65.84656815
4.994134762,42.52431648,44.29716692,8.175939692,73.82554821,0.251830269,102.4865123
1.36552739,33.26186112,2.070213624,63.3724427,86.32488325,0.389179287,6.683794228
64.25539906,1.801698528,21.39840909,12.66600932,28.31630988,0.906840749,105.4080607
1.797709491,47.07880395,49.34377323,1.759058732,76.91824858,-0.006499629,64.04994188
42.78991549,35.2752462,3.386897958,18.53243412,75.10944311,0.754995848,66.16080276
4.428657582,41.13306855,2.965934061,51.58332054,85.66155149,0.189739501,12.53051077
42.92996565,20.40454478,34.42960614,2.029186177,67.69709259,0.877821309,69.70693321
7.733950089,59.12804053,27.14942044,5.981788466,84.74756228,0.327502978,140.3221117
3.220222319,63.51465957,28.54034476,4.708483319,80.28811362,0.147994794,138.9975349
7.767250712,59.06398692,27.20937431,6.118956846,84.76879578,0.277499472,140.4624366
5.860295104,36.08780011,1.118853405,56.97830077,84.57931835,0.278641628,7.85740382
37.62976847,5.567096291,46.75257362,10.0352788,65.37321696,0.899172971,14.43525619
40.70552175,35.62540497,15.03295996,8.522558803,76.68846608,0.676326222,47.74160515
4.322542716,55.86068127,26.10592386,13.81856352,83.89011871,0.219963721,145.3493159
51.23857586,27.94627993,19.24190014,1.614639094,70.07876074,0.932342304,41.21778239
65.32273076,13.7388451,19.29309074,1.632540415,22.16328711,1.012635707,62.58362856
60.87822339,14.49918716,11.76138633,12.9622718,30.08808978,1.015848895,46.16220092
40.06102163,29.67226627,10.02951163,20.17406337,76.32047311,0.811667945,42.0850691
34.57646772,14.74543222,45.8862779,4.784294367,67.11201056,0.841863834,38.47779381
75.49623654,6.537232225,11.53944456,6.235277184,31.90198256,0.930770835,60.94934909
65.35004919,13.71759723,19.26391712,1.671530979,22.18168873,0.967523639,62.68533253
51.29720312,27.8406162,19.3477321,1.585997763,69.27008203,0.88513652,43.55483398
2.449407229,57.92180118,3.428648512,36.40469371,84.63628525,0.826477473,19.3994478
23.25501244,37.39678471,34.38146755,4.986062787,79.2857031,0.660164481,64.63387491
8.964830158,52.00566529,14.30297563,24.57656672,81.38339902,0.495392075,42.74447707
59.0264476,5.778644551,33.34560922,1.969655779,51.30838166,0.763471505,107.8656939
66.13745482,15.34032417,17.00474771,1.47841933,40.39845246,0.396394829,51.26439644
36.07767434,34.57200748,11.819823,17.44821251,79.00696223,0.785379362,103.4383663
15.42271346,38.92514395,2.449858639,43.41679163,85.64786922,0.587528203,20.90987106
6.381109924,32.16206131,59.56904107,1.927247919,82.53774177,0.635236942,10.28812624
56.76254163,28.39964982,4.958292535,9.872578896,82.53481044,0.836234718,49.8906677
9.068953477,52.08407371,14.27022216,24.5663819,81.36250181,0.561218538,42.63813876
47.93534851,7.183717964,32.33266035,12.72473161,56.88497617,0.84357409,46.95037866
33.13240593,34.86425236,4.597120304,27.45668819,80.97272886,0.603902832,30.42188046
42.77537439,2.260511336,40.93312845,13.99129051,66.21094544,0.034055731,39.25581903
47.80767288,15.32917218,14.68486012,22.08142577,66.85644648,0.680873099,43.26246615
66.57483483,13.14691616,13.96119638,6.299436207,37.24277656,0.963904731,132.8859596
65.12443991,2.987442257,17.55056046,14.49359258,21.34744207,1.025464903,95.63350051
12.32982143,43.48141036,32.8297561,11.34899775,82.70595947,0.613517552,125.4185713
1.403755406,38.8532224,38.77060472,21.02317066,81.83964989,0.196616035,11.31250458
40.3067791,26.53124096,30.37629789,2.695855392,76.43899821,0.693188899,45.60342517
8.383003162,49.9956023,28.17986341,13.44188813,80.23932937,0.580562443,65.41733937
15.37873446,38.8852476,2.351762065,43.41361471,85.75359637,0.565436489,20.87654129
2.303873794,57.86966883,3.407820867,36.22162643,84.53805449,0.893915909,19.40161648
65.04893052,3.03331982,17.60124471,14.43344417,21.36906306,0.900539318,95.70651498
1.889215337,38.91326346,29.35193381,29.96169119,84.91531276,0.013779807,40.9507443
71.71592248,1.976702094,24.93755204,1.389445691,37.10345566,0.951437638,49.82370407
41.76148048,26.98333516,10.83261159,20.37599167,77.30482551,0.623344855,73.76078865
12.38374668,38.74550841,35.63372598,13.31065409,77.29388805,0.765645518,96.68522753
40.68429581,35.66860904,15.07612899,8.500753739,76.64636755,0.744765736,47.72600318
32.91948672,23.76207644,34.16532057,9.059782723,77.38397871,0.724354952,54.98415342
11.10991151,56.73624039,26.36864396,5.735114377,84.4786437,0.584186183,33.32631396
32.96688745,35.02194009,4.641976158,27.45819408,80.92582044,0.703177924,30.33345887
8.238849592,34.22387359,3.314596911,54.175964,78.42806397,0.541535333,11.68207415
5.923356307,38.73464017,31.81909619,23.47266047,83.61692177,0.445912683,58.54259316
54.98697288,15.00163147,11.38122133,18.55442027,44.99632366,0.89408876,56.4648377
26.45548827,33.02443456,28.62673199,11.86527351,81.1250744,0.684586181,86.61571806
51.94523797,20.42187844,18.53518614,9.237369033,41.50008587,0.673978977,35.00266746
12.2640639,43.53762365,30.60643573,13.38671776,79.55138745,0.593791472,73.86894113
58.9959693,5.857118336,33.17218177,2.042597588,51.34849098,0.865759142,107.7743554
40.2308308,26.54663785,30.45410885,2.573514593,76.43492844,0.746239008,45.62009166
2.697390226,38.33959676,57.05244187,1.937262714,72.67537462,0.35794216,58.43687652
14.98054961,32.90865243,32.48669095,19.58827743,82.30812426,0.53062438,87.05971475
9.160874019,51.68517225,35.89394945,3.193493442,84.53938458,0.483093325,54.54657224
3.272864866,63.58233189,28.52049142,4.712268295,80.31335424,0.121801373,138.9421075
8.452257836,50.04608972,28.12704943,13.51298429,80.17937687,0.604640311,65.56054591
22.72889585,34.16888537,3.44172863,39.63407887,82.21256135,0.650172737,25.79538415
7.732899077,58.99478264,27.23220512,5.982504406,84.82633434,0.24587337,140.3119587
6.348442231,35.32813731,45.95542347,12.33265535,71.88322176,0.434846563,77.03266337
63.40912639,12.01926353,4.395436693,20.04189624,67.48017921,0.763475229,30.57503834
30.74172358,42.89446415,15.78925136,10.72302961,75.845957,0.478101388,28.82520442
49.37021105,11.26760921,16.43868098,22.8384583,33.78428484,0.746996217,31.71224127
11.07727756,56.67883531,26.35160335,5.809918897,84.33721346,0.572838107,33.26481287
57.45271376,17.86295003,11.47373497,13.19166434,63.91933845,0.842031806,40.36963519
36.09658226,34.45802606,11.87973711,17.38819902,79.04611829,0.793667909,103.4466019
1.228728698,62.91746111,34.25833979,1.433737784,83.55157226,0.290791444,40.32146343
9.004000466,50.76172236,11.63989386,28.53021072,85.93869028,0.26583473,39.62348146
1.863838938,46.8956945,49.30277343,1.79815149,76.88077471,0.166429374,63.89600375
13.79601739,37.05710466,30.56450993,18.56865723,81.14847786,0.56813043,43.05629765
5.462112432,66.12785675,9.370690642,18.86621016,85.353508,0.247780996,52.74608043
6.41794274,32.11726409,59.42303083,1.900519162,82.52119073,0.66115959,10.28183168
58.4947441,3.189893069,24.12644016,14.28488445,34.39073007,0.966449332,67.60726833
41.80981058,26.92087287,10.79949322,20.39456532,77.28844493,0.593382709,73.77930765
52.78299912,6.518682166,34.88358974,5.878504798,42.69589233,0.848703726,17.31049476
51.21798943,27.99145987,19.29046048,1.490616054,70.04205433,0.779986322,41.15436741
32.94832676,23.86487296,34.25679816,8.894912621,77.43680478,0.636117069,55.0490937
1.577555833,55.71782665,14.25769825,28.42191125,84.84193695,0.30971885,41.11384476
7.847119001,59.03828564,27.21693169,6.010006627,84.79979138,0.305121582,140.4695096
9.005325562,45.47709768,36.49359366,8.935209046,82.90299402,0.621512232,125.8256618
1.282273468,63.05215649,34.19291278,1.521746688,85.47591812,0.092329588,68.25970201
1.752147577,38.8478608,29.47734295,29.87906417,84.95618842,0.096047595,41.01505358
39.19199231,13.48395002,32.04526946,15.24290554,67.95894848,0.844953099,53.2715184
41.69573326,4.783656519,35.2260766,18.27125991,67.97130161,0.552367879,81.58283025
9.07821978,50.89793698,11.5840734,28.59262481,86.03024128,0.327528247,39.63121229
11.20431146,35.35889271,33.98718366,19.46985955,76.8837196,0.68256336,67.59400697
64.24215596,1.746508711,21.30979225,12.72673639,48.15230782,0.958685344,54.66556513
5.121602722,50.51851918,22.53073677,21.95877296,84.12548343,0.367740138,20.89064791
34.64803344,34.27066124,27.73288123,3.510532429,75.20942884,0.682193659,54.68898303
68.68379151,7.771891101,19.24035726,4.255913149,32.8330425,0.850814444,52.71567271
27.24038974,35.37349229,11.47648321,25.8777914,75.59759946,0.849515175,37.92174689
1.205880306,70.05175348,19.26241026,9.50964461,86.17814883,0.651412043,76.15105363
46.80826954,19.38642709,32.13615969,1.596399272,56.51867906,0.937378658,89.70914345
1.954802206,43.28320063,22.42677671,32.43876076,84.99662814,0.846099446,37.58955094
33.03313773,23.82147154,34.23179811,9.004630062,77.41909248,0.750113591,54.97633143
52.00585856,1.768445726,22.78709597,23.23088591,67.19302505,0.844835114,33.90161891
35.62649029,29.54499853,8.489801144,26.26579815,77.77361323,0.522537907,12.44538379
42.97923382,20.5518252,34.37411149,2.130078011,67.67930116,0.923166242,69.76628114
39.61508324,33.99389193,17.29869522,9.065217255,70.67161396,0.833934707,65.80114668
41.88069456,26.89160883,10.78311665,20.45481947,77.35118847,0.708647793,73.76928425
68.68626558,7.825198468,19.20473964,4.329120152,32.76805299,0.888594124,52.74867633
26.40752077,33.04017083,28.60859765,11.80349226,81.08558153,0.599795114,86.61860427
1.374637345,48.79414626,24.81397155,25.03209381,84.32111809,0.21358684,28.70772527
4.993728034,34.31017592,1.195695467,59.38440879,79.98874234,0.282776779,5.078051005
35.55060882,29.62777376,8.518250996,26.26833295,54.50633051,0.885322323,32.46952364
3.268185186,32.73257866,51.68781002,12.29683711,73.74030886,0.435153954,47.17063184
62.87979287,22.51169613,11.01223683,3.539048098,35.4550942,0.765138186,113.5425974
9.575866908,38.77249075,15.40795368,36.12483321,75.68933827,0.478482383,11.95828091
3.34067429,47.73510665,41.42301126,7.621930189,74.77644356,0.064840424,129.2560512
40.11834216,29.57922989,10.09821644,20.02274933,76.33497357,0.768993243,42.07357793
60.00776099,20.42016313,17.14101569,2.31215502,30.00642272,0.81422307,82.73423741
1.573282248,53.65106833,18.18350946,26.68187617,81.99408709,0.129461561,14.60444444
6.31201931,39.75928401,1.332464434,52.63225069,85.57641366,0.640756432,6.613328765
14.96542575,32.80673714,32.50517192,19.55407804,82.26320203,0.48790731,87.10452598
45.42998343,1.769438468,51.40148571,1.543657505,61.62396636,0.782011241,107.7964574
58.96733718,5.788306189,33.19767989,1.933552341,51.37927436,0.877905532,107.7523437
9.585990981,38.88102501,15.54108545,36.02109823,75.53615389,0.477647646,12.0760323
1.961021171,43.26426932,22.43809942,32.3374882,84.99670936,1.033248075,37.58696833
40.27165397,26.56131557,30.48551716,2.611563395,76.43930101,0.750006801,45.67600168
52.72960006,6.537765864,34.82678394,5.936545176,42.70212897,0.786656229,17.26511976
5.102962023,50.45564099,22.45013711,21.93681936,84.13398773,0.396305013,20.89612361
40.86729466,23.30245627,8.483475185,27.12555007,80.73405561,0.670706546,73.97986405
5.926184066,38.69178334,31.84131536,23.46320101,83.74217901,0.464373217,58.55900659
57.69061581,5.110140423,23.92809915,13.29957127,43.08911322,0.842415654,59.74040491
40.61867981,35.62638892,15.10906391,8.461103004,76.70932326,0.728817691,47.70518862
8.450590687,50.08782745,28.10285847,13.49438243,80.2767013,0.633989143,65.4844456
11.13137412,35.34181002,34.02339988,19.43952955,76.95257636,0.70053038,67.49530022
6.460420968,35.33019077,46.02919365,12.33442895,71.73670789,0.392314949,77.05803635
5.96334379,38.68688619,31.87981622,23.44575601,83.80549502,0.427829038,58.62229482
1.733785114,33.81873745,60.74530194,3.748997246,80.67790599,0.171447558,30.18470585
8.404228015,50.01667007,28.217833,13.50842145,80.20999094,0.534955141,65.4637763
12.32803574,38.69282877,35.61621742,13.36055894,77.33224628,0.762822933,96.67769689
52.06404466,26.9759422,1.926019418,19.21973189,68.02914698,0.909051238,34.83623614
2.236988478,51.0593453,37.60422441,9.124693774,78.7188599,0.182314853,43.00900228
35.5548215,29.59689431,8.582833734,26.33252923,54.47533683,0.882038824,32.38984893
27.29235532,35.43189543,11.44354369,25.76420999,75.55075982,0.938874476,37.84502335
2.274217308,57.81027266,3.437705451,36.40609994,84.62210943,0.797729752,19.37383547
1.621074054,33.92473787,60.81158723,3.662569038,80.70098248,0.061459006,30.17427228
13.89381687,37.09472421,30.60512822,18.54754174,81.16685064,0.641296038,43.01082117
11.08530441,56.66778751,26.47176721,5.840589863,84.29829269,0.556651147,33.27031096
51.91077285,27.01511252,1.910831843,19.1225426,68.00485948,0.749119773,34.80444201
13.81517943,36.9870754,30.55750691,18.50513276,81.06457375,0.597119064,43.04145189
63.49542291,12.1046227,4.392702758,20.11552135,67.53315721,0.781613257,30.54130522
5.135297878,48.41863641,28.68738359,17.67040289,82.99759053,0.493903346,96.50020993
40.90011612,23.38807455,8.651572647,27.19118559,80.67944906,0.62491177,74.09368016
1.840752663,64.69921687,22.34609173,11.06838072,79.13955774,0.176810659,22.7814113
51.25956493,27.84928676,19.30407353,1.583099604,70.10422669,0.878617336,41.20173494
12.23105777,51.24458577,32.60366994,4.090917239,80.07689496,0.559538644,73.64396951
51.11919207,27.85774296,19.32695777,1.574369974,69.22447107,0.64714622,43.54340471
12.36733543,43.51454262,30.71601747,13.40729393,79.59873854,0.800221184,73.75472221
1.907465857,61.83783873,14.1256218,22.13235351,84.64433803,0.165681872,52.69193828
13.87149067,36.971155,30.63121357,18.58447691,81.21999472,0.637167044,43.07168188
4.501270232,41.20946992,2.984884374,51.46671692,85.64574013,0.251509939,12.52166013
1.137449223,70.09253608,19.31466881,9.62059976,86.06638045,0.561297713,76.21308883
66.09997187,15.48364759,17.08336707,1.34593939,70.27309393,0.775139542,65.42323284
12.34093194,38.62528672,35.62837528,13.38988004,77.33612304,0.754474664,96.62610233
1.779563564,64.73318599,22.34108351,11.07999148,79.12855334,0.139503864,22.87138343
37.6071487,21.11469254,11.35226075,29.99243705,75.9099188,0.60134042,38.12610403
45.45259893,1.848441432,51.30127976,1.562310154,61.61952513,0.812238665,107.7385164
46.86611241,19.2617519,32.18221555,1.641144513,56.59144984,0.864166312,89.67631429
5.544005965,46.38917159,12.15969762,35.94250263,85.67886951,0.178289743,34.44384446
1.722775786,33.88845959,60.74215999,3.710540793,80.73868221,0.081535149,30.20597904
8.298723778,34.33049181,3.304512306,54.15724998,78.48286912,0.644785193,11.73010959
41.74782402,4.789417233,35.12769985,18.30006673,68.03167687,0.613252734,81.71080027
46.63905917,10.90936749,26.30486974,16.03149718,56.54984442,0.982849881,57.92456064
35.59726733,29.6465135,8.528690603,26.23269785,54.48345182,0.926138857,32.4278899
30.35811415,29.58744641,10.30271337,29.70736671,76.01766952,0.641147806,28.2487254
6.457269211,32.19681077,59.46579718,1.978997281,82.43780201,0.525612413,10.23718647
